Продукт,Вес (г),Белки,Жиры,Углеводы,Калории,Категория
кукурузные зерна,100.0,3.00,0.80,0.00,103.00
морковь натуральная,100.0,1.00,0.10,6.20,29.00
огурцы соленые,100.0,0.80,0.10,1.60,13.00
оливки зеленые маринованные,100.0,1.40,12.70,1.30,123.00
оливки черные консервированные,100.0,2.20,36.00,8.70,361.00
свекла натуральная,100.0,1.20,0.00,6.90,31.00
томаты без кожицы,100.0,0.50,0.00,2.30,11.00
томаты с кожицей,100.0,1.10,0.00,3.80,20.00
томаты соленые,100.0,1.10,0.10,1.60,16.00
хрен консервированный,100.0,2.50,5.00,5.00,56.00
артишоки консервированные в масле,100,2.20,28.30,10.00,268.00
борщ из квашеной капусты,100,2.50,5.30,8.80,93.00
борщ из свежей капусты с томатами,100,2.60,5.20,9.80,97.00
горчица торчин мицна,100,8.80,10.00,12.00,154.00
икра из баклажанов,100,1.70,13.30,5.09,148.00
икра из кабачков,100,2.00,9.00,8.54,122.00
кетчуп,100,2.10,0.00,14.90,90.00
свекольник,100,2.90,5.20,9.80,98.00
сок морковный,100,1.10,0.10,5.80,28.00
сок свекольный,100,1.00,0.00,9.90,42.00
сок томатный,100,1.00,0.00,3.50,19.00
солянка овоще-грибная из свежей капусты,100,3.60,7.00,7.10,106.00
солянка овощная из квашеной капусты,100,3.30,10.50,6.60,134.00
"соус ""песто"" из базилика,100,5.00,56.00,3.00,536.00",,,,,
соус кубанский,100,2.60,0.00,22.20,99.00
соус соевый (восстановленный из сухого),100,2.00,0.00,1.00,12.00
соус соевый натурально сваренный,100,8.80,0.00,6.90,63.00
соус томатный острый,100,2.50,0.00,21.80,98.00
соус яблочный,100,0.40,0.00,19.40,77.00
томат-паста,100,4.80,0.00,19.00,99.00
томат-пюре,100,3.60,0.00,11.80,65.00
уксус бальзамический,100,0.00,0.00,7.20,14.00
уксус виноградный,100,0.00,0.00,5.90,14.00
щи из свежей капусты,100,2.60,5.30,9.00,94.00
авокадо с креветками,100,7.30,7.30,3.80,141.00
баклажаны, тушёные с помидорами,100,2.10,17.70,5.70,189.30
баклажаны, фаршированные овощами,100,1.10,5.90,7.50,83.00
бланшированные овощи,100,2.40,11.00,4.00,128.00
винегрет,100,1.30,6.00,7.80,92.00
голубцы в томатно-сметанном соусе,100,5.30,3.30,7.30,80.00
голубцы с овощами,100,2.00,3.50,9.80,79.00
запеканка из цветной капусты с мясом,100,9.70,6.30,3.10,109.00
кабачки жареные,100,1.10,6.00,6.70,88.00
капуста белокочанная жареная,100,1.80,2.80,4.20,49.00
капуста белокочанная отварная,100,1.40,0.10,3.90,21.00
капуста белокочанная тушеная,100,2.00,3.30,9.60,75.00
капуста цветная в омлете,100,4.00,5.20,3.60,77.00
капуста цветная отварная,100,1.80,0.30,4.00,26.00
картофель жареный,100,2.80,9.50,23.40,192.00
картофель отварной,100,2.00,0.40,16.70,82.00
картофель печёный,100,3.20,5.00,11.50,107.00
